BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
414.80000000,0.00878900,0.12140000,47196.05000000,0.24070000,0.00000510,3418.18000000,0.07242300
415.10000000,0.00879600,0.12140000,47196.64000000,0.24190000,0.00000512,3416.67000000,0.07240400
414.50000000,0.00879000,0.12150000,47145.59000000,0.24140000,0.00000513,3409.10000000,0.07231600
414.40000000,0.00878800,0.12150000,47159.80000000,0.24130000,0.00000511,3408.11000000,0.07226700
413.50000000,0.00879700,0.12150000,47026.40000000,0.24030000,0.00000512,3402.03000000,0.07235100
413.10000000,0.00877300,0.12150000,47089.96000000,0.24060000,0.00000511,3397.03000000,0.07214500
414.30000000,0.00880900,0.12200000,47044.01000000,0.24010000,0.00000511,3395.53000000,0.07218000
415.50000000,0.00882600,0.12220000,47091.81000000,0.24000000,0.00000510,3400.43000000,0.07220400
417.10000000,0.00887300,0.12250000,47000.36000000,0.24070000,0.00000512,3402.53000000,0.07239100
415.40000000,0.00886200,0.12230000,46879.85000000,0.23940000,0.00000510,3395.88000000,0.07243800
415.20000000,0.00884300,0.12250000,46958.14000000,0.23940000,0.00000509,3389.46000000,0.07219900
416.20000000,0.00884400,0.12240000,47066.57000000,0.24020000,0.00000510,3400.48000000,0.07224600
415.10000000,0.00884900,0.12250000,46921.40000000,0.23980000,0.00000510,3390.52000000,0.07225900
416.20000000,0.00887300,0.12260000,46912.80000000,0.24050000,0.00000513,3394.08000000,0.07234700
414.10000000,0.00884300,0.12280000,46812.05000000,0.23990000,0.00000513,3369.48000000,0.07196500
416.00000000,0.00886600,0.12310000,46926.57000000,0.24030000,0.00000512,3376.48000000,0.07195300
417.30000000,0.00887900,0.12320000,47006.62000000,0.24080000,0.00000512,3386.45000000,0.07205500
418.40000000,0.00891500,0.12370000,46931.41000000,0.24080000,0.00000513,3381.00000000,0.07204100
418.70000000,0.00889200,0.12350000,47089.47000000,0.24080000,0.00000512,3390.94000000,0.07201200
419.80000000,0.00891700,0.12370000,47077.74000000,0.24060000,0.00000512,3391.31000000,0.07203900
423.10000000,0.00898200,0.12450000,47102.23000000,0.24120000,0.00000511,3399.45000000,0.07217700
422.30000000,0.00895000,0.12400000,47191.29000000,0.24160000,0.00000512,3404.82000000,0.07213700
423.20000000,0.00894500,0.12390000,47312.68000000,0.24170000,0.00000510,3410.77000000,0.07208800
424.10000000,0.00899300,0.12470000,47163.25000000,0.24230000,0.00000513,3402.51000000,0.07214600
423.00000000,0.00897800,0.12430000,47133.89000000,0.24170000,0.00000512,3403.89000000,0.07221900
422.00000000,0.00896500,0.12420000,47074.09000000,0.24110000,0.00000513,3396.37000000,0.07215700
424.30000000,0.00897800,0.12450000,47278.06000000,0.24150000,0.00000511,3407.28000000,0.07208000
422.40000000,0.00895900,0.12440000,47160.59000000,0.24110000,0.00000512,3394.52000000,0.07197800
422.30000000,0.00895900,0.12460000,47142.96000000,0.24090000,0.00000512,3387.95000000,0.07186900
421.80000000,0.00895400,0.12460000,47142.79000000,0.24030000,0.00000509,3384.90000000,0.07180700
424.80000000,0.00896700,0.12490000,47406.80000000,0.24130000,0.00000509,3401.50000000,0.07175900
424.90000000,0.00894800,0.12410000,47487.29000000,0.24190000,0.00000509,3422.38000000,0.07206500
